职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
高级java工程师,本科,5-10年,	 深圳市有棵树科技有限公司,广东省深圳市龙岗区平湖华南城1号交易广场（奥特莱斯购物中心）6楼A区,1.5万-2.5万,1、负责数据可视化产品后台（平台、数据库、接口和应用架构等）软件系统架构，解决开发中各种系统架构问题;2、优化现有系统的性能，解决软件系统平台关键技术问题攻关、核心功能模块设计、核心代码开发;3、在项目需求不断细化的工程中校正整体的架构设计，以及详细模块拆分设计;4、解决大数据量、高并发、高稳定性等带来的各种挑战及技术难关;5、参与讨论数据产品发展方向，完整的规划和把握产品研发架构。任职资格：1、 5年以上开发经验，具备扎实的Java基础，对JVM原理有扎实的理解；对Spring、Mybatis等开源框架熟悉，并能了解它的原理和机制，具有大型分布式系统设计研发经验2. 熟悉基于Mysql、Oracle等关系数据库设计和开发、对数据库性能优化有丰富的经验3. 具备良好的识别和设计通用框架及模块的能力，熟悉底层中间件、分布式技术（如RPC框架、缓存、消息系统等），熟悉微服务架构4. 思路清晰，有良好的需求理解、分析、抽象能力和软件设计能力5. 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，能快速接受和掌握新技术6. 具备良好的沟通技能能力，团队合作能力以及推进工作执行，能利用自身技术能力提升团队整体研发效率，提高团队影响力7. 有丰富GO和Python开发经验者优先
云平台架构师(005349),本科,5-10年,中信银行股份有限公司信用卡中心,深圳市福田区福华路31号荣超城市中心,面议,"岗位职责:1.规划设计，架构，部署 Openstack, Kubenetes(K8s)2.开发云平台相关的工具软件，提升云平台运营效率3.带领团队，引入和推广云平台相关新技术和工具的落地实施和运维管理任职资格:1. 4年以上工作经验，热衷开发工具的工程师2. Linux 实践经验丰富（操作系统，性能监控和性能调优)，对大规模集群有建设，管理，监控及运维经验3.掌握 Git, Jenkins, Shell Script 脚本语言（或Ruby，Python等）, Maven,Puppet, Ansible，Prometheus,Grafana 等持续集成和自动化部署，监控工具4.熟悉Openstack, Kubenetes架构下的生态组件技术，能够进行二次开发，推动DevOps落地实施5.英文四级以上，能够熟练阅读英文技术文档，和Apache社区团队沟通6.有自动驱动能力，极强的新技术学习和应用能力，团队合作意识佳【优先考虑】互联网行业云平台核心开发人员优先考虑。"
Junior Data Engineer,本科,不限,深圳前海乾昇基金管理有限公司,福田区航天大厦A座1201室,1万-1.5万,"我们是一家FinTech创业公司，致力于用先进的技术参与金融市场。成立四年来成长迅速，在某些领域已跃升行业领先。公司在香港和深圳都有分部，创业团队来自美国新加坡澳洲香港等名校硕博士。Junior Data Engineer 是一个偏技术性的岗位，我们期待热爱 IT 技术热爱编程的你加入！请仔细阅读以下职位描述：ResponsibilitiesHelp build the strategic high performance high availability high accuracy big data platform in finance industry.Work closely with fund manager, research team, and trading team to gather requirements, provide solutions, design data models, and deliver implementations.Support the data system we build.Survey and adopt future technologies into our platform.RequirementsBachelor or Master degree major in Computer Science, with good GPAExperienced in below technologies:* Java* Python* One of the NoSQL databases, e.g. Cassandra, MangoDB, etc* Open source communities* LinuxBut if you think yourself have below characteristics, the above is less important:1. Detail-oriented2. Well-organized3. Curious4. Eager to learn5. Self-driven6. SmartThis is not only a job, this is a career."
java+AI开发实习生,大专,不限,中青才智教育投资(北京)有限公司,北京中关村软件园,8千-1.6万,【招收岗位】：1、Java大数据软件开发工程师签约实习生2、 Python+人工智能开发工程师签约实习生【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、对编程感兴趣，有志于在IT行业发展；3、有较强的自学能力和攻克技术难点的能力，良好的逻辑思维能力。【温馨提示】：每日简历投递量较大，欢迎主动与电话（微信）一八九壹壹八四八二九六预约！北京中关村软件园欢迎您！
初级性能测试工程师,大专,不限,深圳市新方硕测试技术有限公司,深圳市龙华区大浪街道高峰社区忠信路9号汇亿财富中心611,6千-8千,"职位亮点五险一金年底双薪绩效奖金年终分红加班补助带薪年假员工旅游节日福利职位描述1、熟悉常见的测试工具，如selenium、QTP、Loadrunner等2、具备一定的设计编码能力，会使用java/python/等至少一种脚本语言进行测试开发;熟悉SQL;3、丰富的接口、业务测试经验，能从测试的角度去思考被测试的模块和接口;4、具有较强的事业心，工作主动积极，具备团队合作精神。5、良好的沟通能力。岗位职责：1、负责基本性能测试执行，进行性能测试脚本录制/编写、监控及结果记录和初步分析;2、编写测试总结报告。3、沟通表达能力，及责任心较强福利待遇：五险一金、年底双薪、年度旅游、加班补助、年终奖等福利工作时间：周一至周五,双休,早九晚六"
数据建模师,本科,不限,深圳中业兴融互联网金融服务有限公司,深圳市南山区海信南方大厦17楼,1.5万-2.5万,岗位职责：1、 负责数据的整理及清洗加工;2、 参与模型设计以及产品上线;3、 对贷后表现进行分析，构建人物画像;4、 对于还款的数据进行管理和监控，分析异常放款行为，监控公司资产包不良。岗位要求：1、 数学、金融、统计、计算机等相关专业本科以上，（数学、统计专业优先）;2、 至少具有1年以上银行、消费金融公司、P2P公司、小贷公司、风险数据分析，授信、贷后策略设计等相关工作经验；3、 精通Excel、熟练掌握Word、PPT操作;4、 能够独立编写SQL语句、使用SPSS建模；5、 对SAS\PYTHON\R语言（其中一种，优先Python和R）有一定的编程基础；6、 对于层次分析、逻辑回归、决策树等机器学习的算法有一定的理解（有实际建模经验优先）。
软件测试工程师,本科,1-3年,深圳市巨鼎医疗设备有限公司,天明科技大厦,6千-1万,岗位职责：1、 分析产品需求以及业务流程，评估测试工作量和风险，制定测试计划；2、 搭建并维护测试环境，准备测试数据；3、 开展功能测试、掌握性能测试、可靠性测试、自动化测试；4、 发现BUG并提交，推动BUG闭环，对产品质量进行评，编写测试报告；5、 对一线问题进行跟踪和分析。任职要求：1、 计算机或者相关专业本科及以上学历，精通测试理论和方法，并有良好的实践经验以及沟通能力。2、 1-2年以上测试经验，有大型软件测试经验或互联网项目测试经验者优先；3、 熟练使用linux系统命令；4、 熟练使用SQL脚本，掌握mysql和oracle数据库的基本使用；5、 熟悉HTTP协议、Web架构、API及互联网应用的工作原理6、 掌握至少一款自动化工具，具备自动化测试能力；7、 有良好的编程思想，至少掌握Java、Python、C#、C、C++等其中一门编程语言8、 有APP测试经验优先9、 良好的业务流程分析和设计能力，可独立分析系统流程
高级java开发工程师,本科,5-10年,	 深圳市有棵树科技有限公司,深圳市龙岗区平湖华南城1号交易广场6楼A区,1万-1.5万,岗位职责：1、负责数据可视化产品后台（平台、数据库、接口和应用架构等）软件系统架构，解决开发中各种系统架构问题;2、优化现有系统的性能，解决软件系统平台关键技术问题攻关、核心功能模块设计、核心代码开发;3、在项目需求不断细化的工程中校正整体的架构设计，以及详细模块拆分设计;4、解决大数据量、高并发、高稳定性等带来的各种挑战及技术难关;5、参与讨论数据产品发展方向，完整的规划和把握产品研发架构。岗位要求：1. 5年以上开发经验，具备扎实的Java基础，对JVM原理有扎实的理解；对Spring、Mybatis等开源框架熟悉，并能了解它的原理和机制，具有大型分布式系统设计研发经验2. 熟悉基于Mysql、Oracle等关系数据库设计和开发、对数据库性能优化有丰富的经验3. 具备良好的识别和设计通用框架及模块的能力，熟悉底层中间件、分布式技术（如RPC框架、缓存、消息系统等），熟悉微服务架构4. 思路清晰，有良好的需求理解、分析、抽象能力和软件设计能力5. 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，能快速接受和掌握新技术6. 具备良好的沟通技能能力，团队合作能力以及推进工作执行，能利用自身技术能力提升团队整体研发效率，提高团队影响力7. 有丰富GO和Python开发经验者优先薪酬福利：1、薪资高于行业平均水平，底薪+绩效奖金+全勤奖。2、工作时间：大小周制度，8小时工作制（周一至周五：8:30—18:00，午休1.5小时；）。3、完善的福利（高于国家法定标准的年休假）、入职即缴纳五险一金。4、提供住宿（内置热水器、单独卫生间、浴室）；公司内设有茶水间，提供微波炉与冰箱，每周定期下午茶等。5、公司设有健身房，每周定期举办瑜伽课、舞蹈课等课堂教学。6、公司提供团建经费，不定期聚餐、各项文体活动、节假日福利以及长/短途旅行等。 地址：深圳市龙岗区平湖华南城1号交易广场6楼A区前台 联系人：黄女士联系邮箱：1172082425@qq.com联系手机：13428955259（同步微信号）
hadoop大数据工程师 ,本科,3-5年,深圳方德人力资源服务有限公司,南山区,2万-4万,岗位职责：1、 参与基于Hadoop生态系统（Hadoop、HBase、Hive、Yarn、Spark、Kafka等）的大数据平台设计及实施构建。2、负责大数据平台组件间的集成、接口封装，相关的技术文档编写。3、参与大数据平台相关组件技术调研，参与大数据平台组件选型。4、实现各种类型的数据接入大数据平台服务。5、在大数据平台中，实现数据加工、转换、清洗、计算等服务，包括批处理（MapReduce、Hive、Spark等）和实时流处理。6、实现数据管理套件产品研发工作，包括元数据管理、数据质量管理、数据资产管理、数据服务接口等。技术要求：1、正规全日制大学本科及以上学历，计算机相关专业。2、5年以上Java/Python/Scala语言应用开发经验，3年以上的大数据平台研发经验。熟悉常用的面向对象设计模式和分布式系统开源框架；3、熟悉linux开发环境及操作系统底层机制，并熟悉分布式系统底层实现机制及Hadoop生态系统各组件技术架构，研究过Hadoop各组件源码或参与过Hadoop开源社区者优先考虑。4、精通map/reduce应用框架，对流式处理框架storm/flink/spark stream至少熟悉一种。5、熟练使用hbase等实时数据库进行应用开发，了解时序数据库者优先6、具备责任心和良好的团队协作精神，乐于沟通交流和分享。
android系统工程师,本科,1-3年,深圳市杰和科技发展有限公司,深圳市南山区高新区北区清华信息港A座1-2楼,1万-2万,岗位职责：1、ROM的开发和优化，以及系统UI的深度优化定制；2、负责配合完成与APP层以及底层驱动的对接工作和开发任务；3、负责创新产品的Android系统bringup级调试工作；4、负责驱动的整合及调试；5、负责研发过程的重点、难点的技术攻坚；6、负责相关代码的版本管控，新产品的系统开发和量产产品的维护。任职要求：1、全日制本科及以上学历，计算机相关专业，1年以上工作经验；2、良好的C/C++编程能力，熟悉Shell或Python/Perl等各类脚本语言及各种debug工具的使用；3、熟悉Android框架及工作机制、ROM修改及以开发，可按照特定需求修改优化，熟悉linux kernel、驱动编程、bootloader、电源管理方案；熟悉android hal层的原理和架构，熟悉RK产品者优先；4、负责Android系统Framework及以内核等系统框架层的优化设计及关键模块开发实现及调试定位，熟悉Android常见服务。
高级硬件测试工程师,本科,3-5年,深圳市威富通讯技术有限公司,宝安区西乡街道前进二路展丰工业园B1栋威富集团,1.5万-2.5万,"岗位职责1、负责公司智能终端产品的功能测试、系统集成测试、可靠性及性能测试；2、负责分析产品需求、国标行标，并进行测试规范、测试用例设计和编写；3、负责测试环境的搭建和维护，自动化测试方案设计与实现；4、根据测试用例、测试规范、测试标准等文档进行测试和验证，提交测试报告及Bug；5、针对测试发现的问题，开展初步分析，并跟踪问题的解决情况；6、参与硬件设计评审，进行硬件风险评估。任职要求1、全日制本科及以上学历，计算机、电子等相关专业，3年及以上硬件测试经验；2、精通测试流程及测试设计方法，对硬件测试质量保证、效率提升有独到见解并具备实际操作经验；3、具有完整的可靠性实验方面的知识，并对相应的标准有深入的理解，具备产品环境、EMC、安规实验的整改能力；4、对电子元器件有深入的理解，具有一定硬件电路分析能力；一般产品的程序框架、设计流程、功能实现方法有详细的了解；5、熟悉WiFi\Zigbee\蓝牙测试,熟悉TCP/IP协议；6、熟悉产品开发与测试流程，具备一定的分析问题和定位问题的能力；7、具备一定的自动化测试设计经验，熟悉Python/Perl/C/C++(任意一种或多种语言)者优先；8、良好的表达能力和沟通能力，善于团队合作，工作细心，责任心强，有较强的抗压能力。"
软件配置管理工程师（平台构建）(003539),本科,3-5年,维沃移动通信有限公司,深圳市福田区梅林路安得街89号步步高大厦,2万-3万,"岗位职责:1、负责公司级项目的软件集成工作。解决模块集成的各类问题。2、负责Android新平台的集成方案设计，编译系统研究。任职资格:1、熟悉C/C++/JAVA等编程语言，熟练掌握shell/perl/python等脚本开发语言。2、对Android编译系统以及Kernel、Android App编译了解者优先。3、熟练使用配置管理相关工具，对git,repo有深入研究；4、责任心强、良好的团队合作精神、较强的抗压能力。"
运维工程师/IT技术支持,大专,1-3年,深圳前海小鸟云计算有限公司,深圳市南山区深圳湾科技生态园二区9栋B5座920,6千-8千,岗位职责：1、负责服务器的配置，维护，监控，调优，故障排除等；2、对业务和服务器做好监控，维护业务的稳定性；3、快速响应故障，及时处理，并进行总结和优化；4、参与7*24小时运维值班工作；5、完成领导交办的其他工作。任职要求：1、计算机、网络、通信等相关专业，大专及以上学历；2、1年以上在线系统运维工作经验；3、精通Linux/Windows系统及常见服务的安装配置；4、熟悉shell、python、PHP等脚本开发语言者优先；5、能独立进行系统、服务器问题分析以及故障定位工作，能够快速排查出服务器故障、系统故障、网络故障；6、良好的表达沟通以及协调能力，团队合作意识强；7、具备高度的责任感，较强的故障分析及排错能力，能在工作中不断提升自己，能够承受工作压力。
运维工程师,大专,3-5年,深圳中腾云企科技有限公司,深圳市罗湖区布吉路1028号中设广场B座16层,1.5万-2万,岗位职责：1.深入研究运维相关技术及公司产品线，负责公司运维团队的建设，针对业务需求制定统一的运维解决方案；2.深入理解公司业务系统，思考、创新，设计能够支撑大规模服务集群的运维工具和平台；3.针对各级业务系统的架构、部署、监控、治理、优化、容灾、安全等进行规划和实施指导；4.规划并优化系统架构，提升系统服务性、服务效率及线上稳定性，保证关键故障的指挥和处理（7X24）；5.负责开发、完善系统监控、报警、自动部署等运维内部的自动化工具和辅助系统；6.跟进推动复杂技术方案，保证项目的成功完成，优化运维体系并带领和提升运维团队，实现可靠和可扩展的运维环境。任职资格：1、互联网五年以上系统运维经验2、深入理解Linux系统，熟悉TCP/IP、HTTP协议工作原理3、熟悉使用Linux/unix下各种应用nginx、tomcat、zookeeper、kafka、lvs、keepalived、iptables；4、熟练配置和使用mysql、redis、memcached等数据库5、熟练使用C/JAVA/shell/perl/python/php 任意一门编程语言6、熟悉阿里云各产品运维7、工作细致踏实，有较强的沟通、执行能力
运维工程师,大专,1-3年,任子行网络技术股份有限公司北京分公司,北京市海淀区高里掌路3号院2号楼，中关村 翠湖科技园•云中心，16号线温阳路地铁站附近,6千-8千,岗位职责：2、负责应用系统的日常管理与运行维护。3、负责日常计算机及网络维护，提供IT软硬件软件方面的服务与支持。1、负责服务器系统、数据库、常用服务支撑软件的安装、维护、迁移、故障处理；4、协同开发一起对服务端的性能进行调优；任职要求：1、本科学历，计算机相关专业。工作2年以上优先考虑。2、英语四级及以上(英语六级优先)。英语听说读写熟练、流利。3、掌握Linux服务器系统(CentOS/Redhat) 日常安装配置维护能力；4、至少掌握一门脚本语言，如shell、perl、python等等；5、熟悉Mysql数据库的管理，熟悉Mysql备份和恢复、Mysql MMM复制以及Mysql的性能调优；6、熟悉掌握zabbix、elk、grafana等监控工具使用。
测试主管,本科,3-5年,深圳市天玖隆科技有限公司,深圳市南山区高新南一道013号赋安科技大厦3层,8千-1.2万,岗位职责：1、负责项目的需求分解、设计评审及测试执行工作；2、独立设计和执行用例，进行缺陷跟踪质量把控，落地闭环；3、项目测试环境搭建和维护，部门硬件功能性测试，输出测试报告；4、质量体系结构和规范的参与和优化岗位任职要求1.3年以上互联网及移动产品测试经验，具有物联网及硬件测试经验优先考虑；2.熟悉软件测试方法论(独立完成测试方案、计划、用例等)，熟悉相关的测试流程、测试文档标准；3.能够熟练掌握数据库Mysql常用操作，熟悉使用postman，jmeter等接口测试工具；4.能熟练使用常用缺陷，用例，质量分析及需求分解工具；5.了解接口/性能/自动化测试内容，熟悉业界或开源工具的使用；6.有java，python语言基础优先考虑，能搭建app及后台自动化测试系统7.较强的学习能力，分析能力，执行推动力，定位能力和解决问题的能力；8.乐于主动沟通，富有团队精神，和工作责任感抗压承受力强。
前端研发工程师,本科,1-3年,深圳市中联创新自控系统有限公司,深圳市龙岗坂田,1.2万-2万,"工作职责：1. 负责公司产品Web前端研发；2. 与产品经理、设计师、后端工程师紧密工作在一起，负责公司各产品易用性改进、界面技术优化和网站性能优化；3. Web前沿技术研究和新技术调研。资格要求：1. 本科及以上学历，计算机、通信及相关专业，相关工作经验1.5年以上；2. 精通HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局；3. 精通JavaScript、Ajax等Web开发技术,熟练运用至少一款主流的JS框架；4. 熟悉W3C标准，对表现与数据分离、Web语义化等有较为深刻的理解；5. 熟悉用户交互设计理论，热衷分析并改善产品的用户体验；6. 具备工程化的前端思维，具备较好的问题分析与解决能力；7. 思路清晰，具备良好的沟通能力和团队协作能力，善于学习、总结，乐于分享；8. 有较强的学习能力和较高的学习热情；具备积极向上的创业心态，良好的职业素质，具备成熟的团队协作意识。具备以下资格优先：1. 具有MobileWeb/HTML5/CSS3等开发经验；2. 对下一代Web技术（如HTML5、Node.js）有强烈兴趣，有良好的学习能力和强烈的进取心；3. 熟悉Linux平台，掌握PHP、Java、Python、C/C++中至少一种后端开发语言；4. 能够理解数据结构和算法设计，具有一定的软件工程意识；5. 熟悉团队开发流程，熟练使用git工具进行代码管理；6. 能够进行基本的UI界面设计。工作地点：龙岗坂田天安云谷"
软件架构工程师,大专,5-10年,深圳中腾云企科技有限公司,深圳市罗湖区布吉路1028号中设广场B座16层,1.5万-2万,"岗位职责：1、理解系统的业务需求，制定系统的整体框架（包括：技术框架和业务框架）2、编制项目计划、方案设计、框架应用文档，控制项目研发进度；3、主导平台框架、服务组件进行性能优化及稳定性提升；4、对线上系统突发问题进行及时响应，提供技术支持工作；5、规范代码及文档标准。岗位要求：1、熟悉linux开发环境，熟悉php/C++/python/Java/Go语言一种或多种, 精通网络编程、多线程编程，熟悉互联网平台搭建.2、具有较高的抽象与分析、归纳能力，逻辑分析能力、学习能力和创新能力强，具有优秀的沟通能力；"
驻场运维工程师,大专,3-5年,北京启明星辰信息安全技术有限公司,招行科技部，南山区科研路18号，腾讯大厦对面,6千-1万,驻场运维工程师：1、具有网站服务器运维经验者优先；2、熟悉Linux系统如Centos ，nginx等常用服务的安装、配置和维护；3、能灵活运用1种以上的脚本语言，包括：Shell、Python等；4、高度的责任感，较强的故障分析及排除能力，善于在工作中学习，能够承受工作压力。
java开发工程师,本科,无经验,合肥圆融供应链管理有限公司,深南大道 6021 号喜年中心 A 座 2005 室（车公庙地铁站）,5千-8千,岗位职责：1、根据设计文档或需求说明完成代码编写、调试、测试和维护；2、辅助进行系统的功能模块设计，编写API接口文档；3、协助测试工程师进行系统测试，处理测试发现的问题；4、配合项目经理完成相关工作；5、主要从事互联网项目开发。任职资格：1、本科及以上学历，计算机相关专业；2、会使用java或python实现都可以，要求必须会java；3、具备良好的逻辑思维，会使用springmvc、spring、hibernate、mybaties等基础框架进行业务编程；4、有分布式编程经验。
nlp算法工程师,本科,不限,前海企保科技(深圳)有限公司,深圳南山区迅美科技广场2号楼A03,1.5万-3万,我们需要你能：1、设计并构建NLP基础平台，用于处理各类NLP任务。2. 应用机器学习处理海量非结构化文本数据，完成知识抽取、NLU、多轮对话决策、智能纠错、逻辑推理等在实用场景下的落地实现。3.探索、利用最前沿的NLP技术来解决现有的和新的NLP相关问题。我们希望你是：1.熟悉NLP中文处理知识，包括但不限于分词、语义理解等。2.精通Python等语言，具有NLP相关项目开发经验，包括但不限于对话机器人、知识图谱构建等3.能够使用最新技术如Deep learning开发中文对话机器人、中文文本分析等4.研究生及以上学历，优秀应届毕业生亦可；我们能提供：1.优厚的薪资福利，超棒的工作环境，轻松地氛围，巨大的晋升空间。2.与AI大牛并肩作战，能得到AI大牛亲自指导。3.表现优秀者可获得大额期权。
高级算法工程师,本科,3-5年,深圳市铁越电气有限公司,龙岗天安数码城四栋B座B804,1万-1.5万,工作职责:基于能源行业业务的海量视频数据，进行数据分析、人工智能建模、训练，为能源行业的视频数据价值挖掘提供参考和具体应用。1. 负责深度神经网络技术平台的架构设计和方案设计，并分解成模块带领团队开发；2. 参与深度神经网络的调优开发，包括：机器学习、图像处理等算法；3. 根据公司人工智能产品需求，完成智能产品方案设计、设计和核心模块开发；4. 组织解决项目开发过程中的重大技术问题；5. 关注业界前沿信息，研究大数据神经网络人工智能等发展方向，探索和创新相关技术，并应用于能源行业；6. 承担人工智能知识传递作用，指导和培养系统内其他开发工程师。任职资格：1、计算机、应用数学等相关专业；本科毕业3年以上；2、人工智能、深度学习、模式识别、机器学习相关领域工作经验两年以上，熟悉深度神经网络的各种模型，如：卷积神经网络，递归神经网络等；3、熟悉深度学习开源平台，如TensorFlow、Caffe等，至少具有一个平台上的项目开发经验；4. 熟悉统计学习算法及模型（如支持向量机、Boosting等）5、熟悉C++、python等编程语言与工具，至少一种；6、有相关工作经验和同行业从业经验人员优先。
测试工程师,本科,1-3年,深圳市一德文化科技有限公司,深圳市宝安区西乡街道兴业路2005号广兴源互联网创意园A栋625,6千-1万,岗位职责：1.负责软件测试，保证软件质量；2.跟进测试过程中的问题，并推动解决；岗位要求：1.有1年以上软件测试经验；1.熟悉软件测试理论、方法和过程，对测试流程、测试用例设计方法有较好理解和掌握；2.能独立执行项目测试，包括需求讨论，设计评审，测试策略制定，设计并执行测试用例，进行缺陷跟踪和软件质量分析等等；3.丰富的管理平台和移动软件测试经验；4.熟悉Shell/PHP/Perl/Python/Ruby等一种脚本语言，能熟练编写代码者优先；；5.有良好的职业素养和沟通协作意识，能够快速准确理解产品需求；
数据运营,本科,1-3年,云杉智慧新能源技术有限公司,振华路中电迪富大厦8楼,1万-1.5万,岗位职责：1. 负责运营数据体系的建设和完善，建立及完善数据监控流程，提供周期性运营分析报告；2. 深入熟悉业务，将数据分析结果应用于实际业务，推动业务解决问题，同时挖掘潜在机会，给出业务团队有效的行动建议和策略支持；3. 优化和完善数据分析体系，包括报表体系，搭建分析框架，并进行核心指标监控；4. 能针对具体业务问题进行专项分析，梳理分析框架，将数据分析结果转化成优化方案或提炼可复制的模板；5. 研究运营数据、挖掘用户需求，参与制定增长策略，数据驱动增长。岗位要求：1. 本科以上学历，2年以上数据分析岗位经验，有较强的学习能力、解决问题能力；2. 有良好的数据分析能力，能找出问题关键点，能有结论，能通过数据寻找增长点；3. 优秀的数据决策引导者，通过数据进行活动的评估与总结；4. 有数据产品能力、建模能力，能将手工报表通过产品文档描写清楚推进产品化，建立各种数据模型对业务进行赋能；5. 熟练Excel、PPT等工具，至少熟练使用SQL、Python、SPSS其中一种。
大数据开发工程师,大专,3-5年,深圳市华云中盛科技有限公司,高新南七道德维森大厦六楼,1.2万-2万,岗位职责：1、负责大数据平台的开发与维护；2、参与公司项目需求，方案讨论、设计开发等工作；3、参与开发和维护现有项目及新项目的开发，按时完成任务，对代码质量负责；4、主动积极发掘、提出和规避项目各个环节可能存在的系统缺陷或项目风险；5、参与大数据各模块研发，对海量数据进行处理与分析。任职要求：1、熟悉大数据开源技术，包含（不限于）Hadoop/Spark/Hive/Hbase/Impala /Flume/Kafka/Es分布式框架/计算/存储/检索等相关技术；2、熟练使用Java、Scala，了解Python开发语言；3、熟悉Liunx环境，熟练使用常用的Shell命令；4、熟练使用SQL，熟练使用至少一种主流关系型数据库；5、有大数据可视化分析、数据挖掘、数据治理项目或产品开发经验优先；6、具备良好的学习能力、分析能力和解决问题的能力；7、有较强的沟通和理解能力，有良好的团队协作精神；8、能出差优先考虑。
运维工程师,本科,3-5年,深圳市台桂软件技术有限公司,南山区嘉进隆汽车城A区7栋3楼整层（广汽三菱南山店楼上）,1.2万-2万,有出国工作对接客户需求，客户多为长期合作、稳定且实力雄厚的国外发达国家企业；正规工作签出国，固定带薪假期。介意慎投，以免浪费彼此时间。岗位职责：1、负责云服务器的维护、优化；2、负责公司休闲类游戏、平台业务的部署、监控、安全防御方案；3、负责与休闲游戏运营项目组的日常沟通交流，接受并处理项目组提出的运维需求；4、负责运维组的发展规划，开发自动化运维工具；5、负责公司内部网络、电脑的部署；任职要求：1、2 年以上互联网行业经验、3年以上的服务器维护经验；2、精通 Linux系统管理，以及业务故障处理；3、熟悉Docker，Nginx，Promethues，ELK，Grafana的部署，使用与优化；4、熟悉网络故障排查与调优，iptables，域名管理，证书管理等；5、熟悉 mysql、redis等数据库部署与优化；6、熟悉 shell、python脚本语言，有自动化运维工具开发经验；7、熟悉业务运维，包括应用安全，部署，更新，日志管理，故障预防与修复等；8、对 Service Mesh，Docker，Kubernete 等新技术有了解；9、有大型网站，游戏服务器维护经验者优先；10、有较强的抗压能力、沟通能力、推动能力和较好的服务意识；11、熟悉云代理，云防护，云服务器相关资源优先。
嵌入式软件工程师,本科,3-5年,深圳市博威射频科技有限公司,宝安区石岩街道创维创新谷2A栋502,1.5万-2万,主要工作职责:主要负责ARM Linux嵌入式软件开发岗位任职要求:1、计算机或软件相关专业毕业，本科以上学历，3年以上工作经验；2、精通C、C++等编程语言，了解ARM等嵌入式微处理器架构，熟悉SPI，IIC，GPIO，USB，串口等常用的外设接口标准和驱动开发；3、了解Linux内核、文件系统、Uboot等原理和开发技术；4、熟悉或者掌握Perl、Shell、Python等其中一种脚本语言。5、有STM32单片机开发经验优先。能力强者，价格面议
c++开发工程师,本科,3-5年,深圳市前海海岸企业管理有限公司,科技园,2万-4万,职位描述：工作职责：负责游戏服务器端设计和开发工作；负责服务器端逻辑功能的编写；负责服务器端的架构设计与搭建与性能优化；负责服务器相关工具的开发和维护。工作要求：本科及以上学历，Linux游戏后台开发经验；熟练使用C++语言，理解流行的开发模式；熟悉python脚本语言；对高性能、分布式开发有经验者优先；具备完整的网络游戏项目开发经验，有成功线上产品者优先；熟悉游戏开发过程中的细节，具备优秀的分析解决问题能力和沟通协作能力。
图像处理软件工程师,本科,1-3年,深圳市中安视达科技有限公司,南山区留仙大道塘岭路1号金骐智谷大厦1111,6千-1万,1.熟练掌握C++/C或Python编程；2.熟悉图形图像算法，如目标跟踪识别、机器学习、深度学习等相关算法，对其中一种或多种算法有较深入的理解；3.熟练掌握图形图像处理技术，熟练掌握OpenCV、YOLO、Caffe、Keras、TensorFlow等图像处理库中一种或多种；4.有较好的数学基础、思维逻辑能力、学习研究分析能力和技术文档编写功底；5.具有较好的沟通交流能力和团队协作精神。工作职责：1.参与研究医疗影像、医疗图片别等图形图像算法并编程实现；2.参与优化公司现有的医疗图像等图形图像算法，配合团队完成图像处理等相关工作；3.参与图形图像等算法方面的技术交流；4.跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相应技术；5.完成领导交给的其他任务。6.相关的图形图像算法研究工作经验；7.具有医疗图像识别研究开发经验优先薪资福利：1、每周40小时工作制，假期组合：带薪年假、及法定假期；2、入职即签订劳动合同，缴纳五险一金；3、员工活动：不定期的下午茶、体育活动；4、提供行业有竞争力的薪酬，并视项目完成情况，给予项目奖金；5、写字楼办公，舒适工作环境；6、工作氛围：我们追求把公司营造成家的氛围，每位成员都散发着青春活力，爱学习爱分享的年轻团队，舒适的现代办公环境，跟一群80、90后一起疯，一起创造奇迹，期待你的加入共同开创属于我们的明天！
大数据-爬虫工程师（外派oppo）,本科,3-5年,深圳润和汇智信息技术有限公司,后海,1.1万-1.7万,"工作职责1、理解业务需求,参与系统开发网页数据的自动化爬取代码编写及架构设计开发;2、负责数据的抓取、解析、清洗、入库;3、 研究设计分布式爬虫模板提高扩展性加快开发效率;4、分析系统全局性能及潜在风险点, 持续优化系统提高系统的稳定性;5、与上级沟通,确保数据准确性及实时性。任职要求1、全日制统招本科及以上学历计算机相关专业;2、5年以python使用经验,熟悉常用python库的使用,熟悉面向对象编程,且熟练使用Scrapy框架、熟悉Selenium、PhantomJS等开发爬虫经验优先;3、 熟悉反爬技术、验证码识别技术,能及时处理各种反爬问题者优先;4、熟悉Javascript. HTML、 CSS. 正则表达式、XPath等信息抽取技术,熟悉抓包分析请求并模拟;5、熟悉运用Linux操作系统, 熟悉网络编程(TCP、 HTTp、|Soket )有多线程、网络数据处理经验优先;6、熟悉数据仓库、数据ETL技术,熟悉MYSQL、 Redis等数据库操作,并能进行数据库优化;7、有大数据开发经验优先。8、 能适应适度的加班"
