职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
ebay销售/ebay运营/ebay业务员,本科,1-3年,深圳市兴汇网络科技有限公司,深圳宝安西乡金海路10号华盛辉商业大厦808,6千-1万,"岗位职责：1、拟定合理的产品上架计划并独立上架、优化，保证销售广告（含产品信息）的准确，降低产品风险；2、对上架的产品及时跟进价格，提高产品销售转化率和业绩；能够保证及时更新新信息，提高产品描述的准确性，避免客户的不良投诉；3、定期进行环比同比数据分析，及时调整销售策略和提升销售技巧，保持良好库存周转和提高资金利用率库；4、制定负责店铺年度,季度,月度运营策略计划并有效执行，EBAY关键字的优惠,广告位推广，参与平台促销活动。5、完成公司规定的销售目标，同时制定个人目标，加快个人成长步伐。招聘要求1、大专以上学历，英语四级以上，六级优先考虑；2、2年以上ebay平台销售经验；3、有独立管理账号的能力，熟悉账号开发，广告推广，产品规划；4、有丰富的售后处理经验，能妥善解决可能出现的各种争议；福利待遇：1.底薪+高提成（提供在同行业具备竞争力的薪酬待遇）2.购买社保（医疗保险、工伤保险、失业保险和生育保险）；3.工作时间：大小周工作制 上班时间：早上9:00-12:30，下午14:00-18：00；4.有薪假期：法定节假日、年休假、婚假、产假等；地址：深圳市宝安区西乡街道金海路10号华盛辉商业大厦808；地铁一号线西乡地铁站B出口，11号线碧海湾站。"
产品经理,本科,3-5年,深圳零钱包科技有限公司,南山区蛇口,1.5万-2万,职位描述：1、支付产品需求承接和分析、产品原型设计及PRD文档撰写，协调推动技术开发、测试和上线等工作；2、支付产品/工具运营，合理运用数据埋点设计支持并验证上线的产品方案效果，通过数据分析发现问题，提出改进方案，并推动实现，持续提升支付产品能力；3、把握行业趋势，通过竞品分析和创新产品/模式研究，提出优化迭代意见，产品创新思路和方案，持续完善产品本身及整个产品体系；4、负责跨部门协调和沟通，推动界面、开发、测试、运维、运营等人员紧密合作达成产品目标；任职资格:1、金融、经济、电子商务、计算机等相关专业本科及以上学历；2、3年以上第三方支付/互联网行业产品有关工作经验优先；3、能够熟练运用Axure RP、Visio、MindManager等常用工具，能独立完成需求分析、原型设计、开发推进和产品迭代等完整产品环节；4、有基础产品运营意识，对数据敏感，具有数据分析能力，并将分析结果用于产品改进；5、具备产品经理基本素质，有良好的产品素养，执行力强，结果导向。
会记主管,本科,3-5年,深圳市互通信息科技有限公司,龙华街道三联社区锦华发工业园1栋硅谷大院T3栋305,6千-8千,1、负责与供应商／客户对账及结算；2、负责工资审核；3、负责合同审核及预算；4、负责费用报销审核；5、负责库存商品及时核对与盘查；6、相关会计工作账务处理；7、负责出口退税及纳税申报8、负责各子公司核算及监管9、相关内部管理报表编制。任职要求：1、统招财务类专业本科以上学历，3年以上同职位相关工作经验，办公软件（特别是EXCEL）精通、会操作金蝶财务软件、有会计理论、销售数据分析能力强，良好的团队合作精神，能承受较大的工作压力。
亚马逊日语销售,大专,不限,深圳市冠进科技有限公司,龙华区龙华街道清湖和平路62号优鼎企创园D栋208室,6.5千-8千,岗位职责：1、负责在日本亚马逊平台的销售工作；2、运营好Amazon日本电商平台店铺并开拓新的销售渠道；3、制定合理、可行的产品和市场的拓展计划，并协调实施，解决市场开拓中存在的问题；4、负责日本电商店铺的销售日常管理：品类规划，产品上架，营销策划，供应链协调及后续服务改善、产品质量投诉沟通等；5、负责处理销售业务中的可能出现的各类运营事件，确保业务正常开展；6、负责收集一线市场信息和客户反馈，对公司日本区域的营销策略、售后服务等提出参考意见。岗位要求：1、大专或以上学历，精通日语及具备英语阅读写作能力，优秀应届毕业生亦可。2. 有一年以上Amazon相关工作经验，熟练掌握ebay/Amazon平台规则、销售技巧、交易流程，具有市场预判和产品销售敏感能力3、性格开朗，工作严谨细致、耐心、具有较强的逻辑分析能力和一定销售数据分析能力。熟练掌握各种办公软件。4. 良好的沟通能力和团队协作，有强烈的责任心和独立完成任务的能力；能承受工作压力，善于学习和解决各种业务问题。5.上班时间五天八小时。
ebay销售专员,大专,不限,深圳乐能电子有限公司,深圳市龙华新区大浪办事处高峰社区陶吓村第二工业区C栋5楼（龙胜地铁站B出口）,6千-8千,岗位职责：1.负责eBay账号管理，包括销售，新品上架，优化listing等；2.熟悉eBay规则，维护账号的良好运行，协助客服处理售前售后；3.根据产品的销量和排名变化，及时制定和调整销售策略及推广计划，做数据分析；4.分析竞争对手情况，掌握市场趋势和变化，并及时向上级反馈；5.针对店铺运营和账号健康管理， 做好分析总结，及时向上级汇报情况；6.借助销售工具开发热卖产品；7.服从上级的指令，按时有效地完成上级交付的任务。职位要求：1.大专以上学历，四级以上英语水平，接受应届毕业生；2.会基本办公软件操作；3.工作积极主动，有责任心，有良好的沟通能力，学习能力；4.有团队合作精神，能承受压力，有开拓创新精神；5.从事过外贸销售工作经验，有过电子商务销售经验者优先；公司福利：1、年底双薪；2、入职满一年的员工有5天的带薪年假，每增加一年工龄加一天带薪假。3、带薪假有：婚假、丧假、病假、产假、法定节假日。4、公司设有活动经费、全勤奖、绩效奖、工龄工资、优秀员工奖。5、端午、中秋、三八妇女节、圣诞节、生日礼物、新婚贺礼、慰问金等补贴。6、每年公司会组织员工春游、秋游等旅游活动。7、对于表现优秀的员工有机会外派美国分公司、荷兰分公司学习等国外旅游机会。公司官网:http://www.szlepower.com//
阿里巴巴运营推广,本科,1-3年,深圳市臻鑫数码科技有限公司,兴龙富创客园 218,6千-8千,"岗位职责：1、负责阿里巴巴国际站主账号后台的管理工作及优化排名，以及产品的上下架和布局；2、负责阿里巴巴国际站平台搜索排名和产品优化曝光，精通操作阿里巴巴运营国际站推广，产品及关键词优化；3、负责公司阿里巴巴国际站店铺的整体运营，规划，推广工作，提高产品的曝光率与点击率，增加询盘；4、进行数据分析、评估关键词质量度、提出关键词的优化方案；5、灵活实施推广力度，增加点击和询单量。6. 定期针对阿里巴巴推广效果进行跟踪、评估，给出切实可行的改进方案任职资格：1、有1年及以上阿里巴巴国际站运营经验;英语4级以上。2、熟悉阿里巴巴国际站排名规则，对提高店铺转化率有丰富经验；3、热爱外贸推广工作，有阿里巴巴国际站P4P操作经验优先考虑；4、良好的统筹、逻辑思维、沟通能力，执行力和抗压力强，具备团队合作精神。5、具备一定执行力、抗压能力和沟通能力，高度的责任心，能够适应初创型公司的文化。福利待遇：公司大部分的同事都是90后的同学、大哥一样的老板，朋友一样的主管、充分自由发展的空间、只要你够优秀高薪绝对不是问题。想找高薪的工作？来这里就对了！担心健康医疗没保障？不怕，我们有五险；担心买房、租房没保障？不怕，我们有公积金；想散心旅旅游、探探亲？可以，各种法定假期都有，还有5天的带薪年假哦；生活单调，每天都是两点一线？只要你愿意来！每月的部门聚餐都会让你的生活更加丰富多彩；集体游？这是必须的啦；想要加工资？我们每年一次固定提薪，如果你够优秀还可以多申请哦；上班时间？上午9:00-12:30；下午14:00-18:30；还有其他好多福利都等着你来感受！我们是否志同道合，你是否拥有着理想、负责高绩效的工作态度加入我们的团队？你是我们要找的伙伴吗？如果是,期待你们的加入！"
会记主管,本科,3-5年,深圳市互通信息科技有限公司,龙华街道三联社区锦华发工业园1栋硅谷大院T3栋305,6千-8千,1、负责与供应商／客户对账及结算；2、负责工资审核；3、负责合同审核及预算；4、负责费用报销审核；5、负责库存商品及时核对与盘查；6、相关会计工作账务处理；7、负责出口退税及纳税申报8、负责各子公司核算及监管9、相关内部管理报表编制。任职要求：1、统招财务类专业本科以上学历，3年以上同职位相关工作经验，办公软件（特别是EXCEL）精通、会操作金蝶财务软件、有会计理论、销售数据分析能力强，良好的团队合作精神，能承受较大的工作压力。
亚马逊日语销售,大专,不限,深圳市冠进科技有限公司,龙华区龙华街道清湖和平路62号优鼎企创园D栋208室,6.5千-8千,岗位职责：1、负责在日本亚马逊平台的销售工作；2、运营好Amazon日本电商平台店铺并开拓新的销售渠道；3、制定合理、可行的产品和市场的拓展计划，并协调实施，解决市场开拓中存在的问题；4、负责日本电商店铺的销售日常管理：品类规划，产品上架，营销策划，供应链协调及后续服务改善、产品质量投诉沟通等；5、负责处理销售业务中的可能出现的各类运营事件，确保业务正常开展；6、负责收集一线市场信息和客户反馈，对公司日本区域的营销策略、售后服务等提出参考意见。岗位要求：1、大专或以上学历，精通日语及具备英语阅读写作能力，优秀应届毕业生亦可。2. 有一年以上Amazon相关工作经验，熟练掌握ebay/Amazon平台规则、销售技巧、交易流程，具有市场预判和产品销售敏感能力3、性格开朗，工作严谨细致、耐心、具有较强的逻辑分析能力和一定销售数据分析能力。熟练掌握各种办公软件。4. 良好的沟通能力和团队协作，有强烈的责任心和独立完成任务的能力；能承受工作压力，善于学习和解决各种业务问题。5.上班时间五天八小时。
ebay销售专员,大专,不限,深圳乐能电子有限公司,深圳市龙华新区大浪办事处高峰社区陶吓村第二工业区C栋5楼（龙胜地铁站B出口）,6千-8千,岗位职责：1.负责eBay账号管理，包括销售，新品上架，优化listing等；2.熟悉eBay规则，维护账号的良好运行，协助客服处理售前售后；3.根据产品的销量和排名变化，及时制定和调整销售策略及推广计划，做数据分析；4.分析竞争对手情况，掌握市场趋势和变化，并及时向上级反馈；5.针对店铺运营和账号健康管理， 做好分析总结，及时向上级汇报情况；6.借助销售工具开发热卖产品；7.服从上级的指令，按时有效地完成上级交付的任务。职位要求：1.大专以上学历，四级以上英语水平，接受应届毕业生；2.会基本办公软件操作；3.工作积极主动，有责任心，有良好的沟通能力，学习能力；4.有团队合作精神，能承受压力，有开拓创新精神；5.从事过外贸销售工作经验，有过电子商务销售经验者优先；公司福利：1、年底双薪；2、入职满一年的员工有5天的带薪年假，每增加一年工龄加一天带薪假。3、带薪假有：婚假、丧假、病假、产假、法定节假日。4、公司设有活动经费、全勤奖、绩效奖、工龄工资、优秀员工奖。5、端午、中秋、三八妇女节、圣诞节、生日礼物、新婚贺礼、慰问金等补贴。6、每年公司会组织员工春游、秋游等旅游活动。7、对于表现优秀的员工有机会外派美国分公司、荷兰分公司学习等国外旅游机会。公司官网:http://www.szlepower.com//
亚马逊销售（周末双休）,大专,不限,深圳市冠进科技有限公司,龙华区龙华街道清湖和平路62号优鼎企创园D栋208室,5千-8千,岗位职责：1、负责Amazon店铺日常运营管理，独立操作账户、上架产品，FBA发货和客服工作；2、利用各种营销手段及技巧，提高产品曝光率，提升产品转化率；3、根据产品的销量和排名变化，及时制定和调整销售策略 ，做好数据分析工作；4、分析竞争对手情况，掌握市场趋势和变化，制定提升销量的可行性方案；5、对店铺运营和账号健康做好分析总结，保持店铺的好评率和销量等指标良性，及时向上级汇报情况；6、按时有效地完成上级交付的其他工作任务。任职资格：1、专科以上学历，国际贸易，电子商务，外贸，翻译，市场营销，外语专业优先；2、英语四级以上，具有良好的英语读写能力，有亚马逊经验者优先；3、沟通能力强，能独立解决各种客户问题，能预防可能出现的争议；4、有团队合作精神，有高度责任心，能承受压力，执行力强，对电子商务有激情；5、对外贸电子商务感兴趣，优秀应届毕业生亦可。公司官网： https://www.camvate.com/
电商客服,不限,不限,深圳市皓展装饰材料有限公司,深圳市南山区沙河东路225号欧洲城2栋香江家居三楼百得胜,4千-6千,1、负责网络平台（天猫、淘宝等）的日常运营、推广、活动的规划与组织等；2、具备数据分析能力，有较强的执行能力，协调各部门组织线上平台的活动落地；3、配合客服专员完成工作4、推动公司线上运营，引流。任职要求：1.工作认真，有责任心，踏实肯干，富有团队精神；2.语言组织能力强，求知欲强，表达清晰，思维敏捷；3.形象气质佳，声音甜美，年龄20-28周岁，熟悉办公软件4.应届生也可，相关专业优先工作地址：南山区欧洲城/宝安区福永/
日语亚马逊运营销售主管,大专,1-3年,深圳万航进出口贸易有限公司,深圳市龙岗区大芬街道茂业书画交易广场6楼613A,8千-1.5万,1. 日本站各个账号的管理工作，并对自己负责的产品的销售成绩负责；2. 负责整个团队的产品销售分配工作，拟定新产品上架计划，控制和跟进上架进度，制定营销推广策略；3. 保证站点所有账号的好评率，确保账号安全；4. 新员工的培养和新员工的考评；5. 团队销售目标确认及目标分配，为整个团队销售目标负责，带领团队按时按量完成销售任务；6. 团队成员工作进度的跟踪、推进和反馈，管理销售的日常工作；7. 团队成员销售的指导工作，提升团队的销售技能；8. 团队成员月度和年度KPI考核；9. 整个站点FBA库存积压情况和周转率的把控；10. 整个站点广告费用和促销活动费用的控制，把广告成本和促销成本控制在合理范围内；11. 配合产品开发部完成公司月度开发和调研工作；任职要求：1.日语二级及以上，日语能作为工作语言。2.从事过亚马逊日本站运营销售工作三年以上，团队管理经验1年以上，3.有成功打造过爆款产品，店铺月销售额在2000万日元以上。4. 敏锐的市场嗅觉，平台数据分析能力，分析对标竞品、超越对标竞品，对新鲜事物有探索精神，对外贸电子商务有兴趣和激情；
cdiscount法语销售 Cdiscount法语运营,大专,不限,深圳市通拓科技有限公司,平湖镇华南城1号交易广场5楼G区,5千-1万,岗位职责:1、熟悉产品，按照上级要求上传到各站点；2、对线上产品定期优化、及时调整，保持产品优势，提高市场占有率；3、研究平台动向和销售技巧，追求每个产品效益最大化；4、收集和反馈畅销、销售潜力大的产品；5、制定和实施产品推广计划。任职要求:1、大专以上学历，法语专业优先，对法国消费市场有一定的了解，英语亦可；2、具备良好的市场洞察力、数据分析能力和逻辑思维能力，强烈的计划、执行意识；3、有工作热情，脚踏实地，能够承受较强的工作压力，有志在电商行业长期发展。薪酬福利：1、薪资待遇：底薪+提成模式（提成视个人能力而定，上不封顶）；2、福利待遇：（1）保险保障：五险一金，入职即享综合医疗保险；年终奖；工龄奖；年度免费体检；（2）团队建设：每月部门活动经费，一至两个月举行一次部门活动；丰富的羽毛球、外语角、书友会等社团活动；不定期举行文体活动；每月生日会、迎新会；（3）生活保障：公司自办饭堂，可自由申请报餐，提供加班免费餐点、员工宿舍；（4）礼品礼金：结婚礼金、生子礼金、丧恤金、生日礼物、传统节日福利、春节红包；（5）有薪假期：法定节假日、年休假、婚假、产假、陪护假。3、培训机制：根据每位员工的优点及综合能力，让每位员工人尽其才。对于企业中层级干部进行横向轮调的模式进行培养。企业管理透明化， 提供公平公正的平台， 让每位员工的纵向竞争公开化，公平化。4、公司班车经过站点：路线A：皓月花园—惠鑫公寓—万家灯火—滢水山庄—星光之约—南坑村—光雅园路口—四季花城—大族云峰站—平湖华南城路线B：吉华路高速桥底—坂田市场—坂田路口—华为单身公寓—岗头市场南—雪象村—平湖华南城路线C：民治沙元埔—民治水尾公交站—布龙路香江家私城路边—梅花山庄—大发埔加油站—和成世纪—坂田地铁—平湖华南城路线E：星光之约—杨美地铁—平湖华南城公租房专线：呈祥花园—平湖华南城应聘程序：提交简历，如入围，公司会通知进行初试、复试。联系方式：********-8003，邮箱：************* 。欢迎有志于外贸、电子商务的优秀人才加入到我们的团队中来！让我们携手共创辉煌明天！
在线教育营销经理,本科,3-5年,莆田市城厢区柯林教育信息咨询服务部,罗湖区,1.5万-3万,"1、负责有道精品课在线教育课程产品的推广工作，为产品的用户规模和知名度负责；2、对于市场敏感，对于用户需求有敏锐洞察力；目标导向，有严谨的数据分析能力；关注竞品动向，关注市场机会；3、负责各类用户研究项目，工作内容包括方案设计、实施、项目结果4、能够结合对于目标用户和场景的洞察，对于课程产品的卖点进行有效提炼、并定制合理的推广和投放计划，实现规模化获客；5、结合营销节奏高质量的完成推广计划，通过针对性的广告投放和各种用户增长办法，为课程产品带来优质新增生源，实现销售额增长；6、负责日常数据报表统计、分析，问题预警、反馈及解决；7、关注竞品服务的用户运营动态与行业情况，不断优化运营效果。岗位要求：1、3年以上市场推广或用户增长相关岗位工作经验；互联网在线教育行业2年以上经验，有一些项成功的运营案例；2、具备优秀的广告创意和审美能力，能够策划并完成高质量的广告素材及活动设计；3、对于教育充满热情，愿意给人们提供最好的教育产品，相信在线教育是未来的发展方向；4、熟悉线上用户运营，擅长用户活动策划与用户数据分析，对用户行为敏感；5、敏锐的市场洞察力和分析判断能力具有良好的结构思考能力，逻辑思维清晰；6、优秀的沟通协作、执行及项目管理能力；7、本科及以上学历；具有一定英语熟练程度为佳，但不强制要求；8、有成熟的教育产品推广经验和渠道资源者优先。薪资可面议。欢迎优秀人才加入我们！工作地点：深圳如有意向，请直接联系 Maria, Wechat: A9996675公司介绍我们是一家国际信息技术公司，自2010年以来，我们为世界各地的客户开发软件，网络和移动应用程序。 7年来，我们已经从一个小工作室到一个大公司，员工超过100人。 我们不只是编写代码或制定设计，我们创建工具来增加利润，优化工作流程，并实现您想要的结果。现在我们正在开辟新的方向，并希望在中国的在线教育领域启动一个项目。"
薪酬绩效主管,本科,5-10年,深圳市康哲药业有限公司,马家龙大新路198号创新大厦B座6-8楼,1.3万-2万,岗位职责:1、根据集团与人力资源发展战略，建立集团薪酬、绩效管理体系，完善相关制度2、组织制定绩效评估方案，3、调研和分析市场薪资数据，建立公司薪资策略及激励方案；4、持续优化调薪方案、福利方案等；5、推动完善绩效考核方案，组织实施集团的绩效考核，督导集团各层级考核评定、绩效结果沟通。汇报对象：集团人力资源管理部总监下属人数：2人任职要求:1、26-35岁，本科以上学历，人力资源相关专业有限；有团队管理经验优先2、五年以上人力资源工作经验，其中三年以上薪酬绩效实践经验；3、逻辑思维缜密、擅长数据分析，熟悉office办公软件，精通excel操作；4、具有良好沟通表达能力、组织协调能力，能发现问题并推动解决问题；5、主观能动性强，积极进取，富有团队协作精神。
JAVA高级开发工程师[深圳],本科,5-10年,深圳星桥数据技术有限公司,深圳市南山区深圳湾科技生态园二区9栋A2座809,1.5万-2万,"深圳星桥数据技术有限公司，是一家基于机器学习与大数据的金融科技综合解决方案的产品商。多家风投公司入股并且投资。星桥数据成立于2013年,由数位国际资深计算机和金融系的海归博士、海外华人专家、跨国企业高管领衔创建，专注于金融风险控制、财务模型、大数据分析、机器学习、人工智能等科技金融领域的研究与开发。星桥数据自主研发智能化秒贷产品--壹贰信用，己被多家银行、金融集团所采用；2018年公司将重点开发壹贰信用和壹贰分期场景精准推荐，应用在消费场景，供应链-金融和租赁金融场景中。星桥数据持续创新，追求极致，围绕互联网科技金融战略孵化了壹贰信用、壹贰钱包等多项创新互联网科技金融品牌，开创了互联网金融领域品牌产品系列运营模式。 如果你想玩大数据，人工智能，机器学习，区块链，期待您的加入。岗位职责：1、具有3年以上电商相关工作经验，热衷技术，有钻研精神，能主动承担责任，学习能力强；2、熟悉Jvm运行原理，掌握J2EE技术，包括Servlet/JSP、JDBC、Web Service、restful api等技术；3、熟悉Http协议，了解移动互联网Http API的接口设计原则；4、掌握框架技术如struts、Spring、mybaties/hibernate等；5、熟悉Tomcat、jboss等常用服务器；6、熟悉Mysql , Oracle 、mongodb数据库，使用过redis、memcache；7、熟悉web前端技术，熟悉Ajax、HTML、DIV/CSS，能熟练使用JQuery；8、熟练使用Maven、SVN、Git、Eclipse、IntelliJ IDEA；9、能熟练阅读中文、英文技术文档的优先；10、具有良好沟通能力和理解能力、富有团队精神,责任感强。"
亚马逊欧洲站销售 ,大专,1-3年,深圳市义浩科技有限公司,龙岗区梅坂大道雅宝1期星河WORDB座2403,7千-1.4万,"任职资格：1、大专以上学历，西班牙/法语/德语/意大利语专业，书写优秀；2、一年以上Amazon欧洲站平台的运营经验；3、工作扎实，认真；结果导向型人才，拥有正确的价值观并能认同公司的发展理念；4、具备基本的市场分析能力和有品牌和营销思维；岗位职责：1.Listing优化；PPC布局，优化和操作；2.账号活动与回款；库存，及时补货，保证不断货；3.竞争对手分析与库存&销售策略；4.异常订单处理，维护好评星级；5.异常listing的处理（客户投诉，后台小红旗，产品被下架等问题）6.工作总结与数据分析公司待遇：1,当月薪资构成：底薪+高额提成+绩效奖金+年终奖2,公司每月会制定相应的任务，完成业绩，享有绩效奖金；3,节日福利，生日福利，全勤奖，年终奖，以及其他补助性福利待遇；5,购买五险；6,定期组织员工参加各类丰富多彩的集体活动，每周羽毛球活动，每年安排公司旅游；7,公司高速发展带来的职位晋升、薪资晋升机会；8,公司年轻化团队，有活力、有激情，共同学习，一起成长。9,工作时间：上午9:30-12:30; 下午14:00-18:30，双休公司地址：龙岗区梅坂大道雅宝1期星河WORDB座2403公交站牌：星河WORD。地铁站：五和地铁站"
会计,本科,1-3年,深圳市岗瑞资产管理有限公司,深圳市福田区深南大道4019号航天大厦1007,8千-1万,岗位职责：1.具备企业全盘账务处理经验，能同时处理公司多家子公司全盘账务;2.办理国税、地税纳税申报、所得税年终汇算清缴等税务工作，年检工作；3.熟练使用金蝶财务软件及办公软件等；4.将审核无误的考勤表及工资原始资料编制成员工“工资汇总”；5.精通国家财税法律规范，谙熟国内会计准则以及相关的财务、税务、审计法规、政策；为管理人员提供财务分析，提出有益的建议；6.完成上级交办的其他事项。任职要求：1、学历全日制本科以上，1年以上财务会计从业工作经验，持有初级会计证；2、财务相关专业毕业，具有扎实的科技理论基础知识，熟悉会计核算流程，熟悉账务处理，会计报表及会计电算化操作等；3、熟练使用财务软件及Office办公软件，可对会计业务各流程进行核算、控制和数据分析，熟练掌握涉税的综合会计核算；4、敬业、严谨、细心、踏实，能够承受工作压力；5、工作态度认真负责、主动，做事踏实、细心，性格沉稳，为人诚恳。
亚马逊销售（德语专业）,本科,不限,深圳智汇壹佰电商物流有限公司,平湖华南城2号交易广场5楼E区080,6千-1万,"岗位职责：1.负责亚马逊平台运营，包括产品上架，维护和优化listing页面，CPC推广和优化；2.研究本站点市场和消费习惯，调整产品和运营策略；3.处理售前、售中、售后的客户服务以及处理交易纠纷，提高feedback和Review的质量和数量；4.定期统计分析销售和广告报表，发现并解决问题；5.利用数据分析销售数据，科学合理备货，保持良好的库存周转率。薪酬福利：1.薪酬： 基本工资+提成（不封顶）+年终奖；2.福利：五险一金+专业培训+团建活动+节日活动3.人性化考核机制；4.工作时间：9:00-18:00,双休工作地址：深圳市龙岗区平湖华南城2号交易广场5楼E区080联系人：李小姐 ***********"
资深策划,本科,3-5年,深圳市田田家园家具有限公司,固戍地铁站D出口梧桐岛11栋6-9楼,8千-1.2万,岗位职责：1、有效地进行消费者洞察挖掘、主题发想、促销方法等头脑风暴，提供具有创意和竞争性的线上营销活动策划方案；2、熟悉电商平台规则，负责公司电商品牌的日常活动策划，包括活动主题设计、活动文案撰写、布局与图案构想，并执行推进活动上线，活动资源统筹协调、促销效果总结评估，保证活动高效完成；3、负责各期主题活动策划与文案呈现，挖掘和分析产品特色和卖点，负责指定商品传播、预售等产品活动策划；4、熟悉公司业务及产品，能够提出有建设性的优化意见，在此基础上策划创新型策略方案；5、评估、分析营销活动实施中的阶段性效果，定期提出可行性报告，负责所策划的电商活动的数据分析，能客观合理地评估活动效果；6、参与制定年度及季度电商活动规划编排，把控活动节奏。任职要求：1、新闻、广告、营销等相关专业，本科以上学历，3年或以上工作经验；2、接受新事物能力强，善于与同事及团队之间的沟通，善于整合资源从不同角度创意；独立思考与逻辑思维能力强，善于抓取客户需求点出针对性的解决方案；3、有地产广告公司策略背景（不是普通文案策划、尤其要懂广告语提炼）、具备深厚、扎实的文字功底和较强的文字表现力，有丰富的商业文案策划经验，能够根据销售目标完成文案创意表现，有天猫、阿里巴巴，唯品会，京东等电商策划相关经验者优先；4、懂营销、懂传播、懂策略，有分析消费者需求结合产品营销的能力；5、个性开朗大方善于沟通���具有良好的合作精神和工作能力，能保持激情、乐观、饱满的精神状态，有较好的艺术鉴赏水平，有悟性、强烈的责任心与工作主动性。
6K腾讯游戏测试助理,大专,不限,深圳市斯槟锐森科技有限公司,深圳市宝安区宝安中心,4千-6千,岗位职责1、协助上级完成每日的测试任务；2、做好每日的数据分析；3、每日下班前将今日工作整理至表格并提交给主管；任职要求1、 年龄18-30岁；2、 大专以上学历，不限专业，接受应届生投递；3、 能吃苦、有责任心、沟通能力好、学习能力强及具有团队精神；福利待遇：1、五天7.5小时小时工作制，周末双休，享受法定节假日以及节日福利；2、签订正式劳动合同，入职享受国家规定的五险一金；3、每月举行员工生日会，季度出国旅游，定期公司聚餐；4、五险一金，带薪休假，人身意外伤害商业保险等；5、可享受公司组织的：国内外旅游、部门聚餐、公司聚餐、国外年会等等；6、舒适的办公坏境；优越的福利保障；富有竞争力的薪酬；7、完善的员工内训制度，高效的工作环境和氛围；定期组织员工参与旅游、体育比赛等业余活动，丰富员工的工作生活。
楼面管理员（管理运营方向）,大专,1-3年,深圳红星美凯龙家居生活广场有限公司,深圳市福田区香蜜湖街道红星美凯龙家居生活广场管理处,5千-7千,岗位职责：1. 执行公司楼层管理相关要求，协助上级领导进行商铺沟通、租金等相关费用收缴工作，完成相关KPI指标；2. 协助本楼层的招商登记或引荐，配合上级领导做好品牌引进、考核、经营布局规划及展位招租、调整等工作；3.协助上级领导完成厂家入驻、变更、撤展等业务指令，收取建档入驻厂家相关证件等资料，确保其合法经营；4. 组织关于场地面积的确认与审核，配合相关部门进行展位装修审核、管理等工作；根据商场要求，检查、监督厂家展位门头，对产品陈列、展位规划调整等提出建议；5. 协助上级领导定期进行市场调研及数据分析，负责配合相关部门了解厂商需求和资源，协助开展促销活动；6. 负责每日巡检，检查商场营业现场的安全、环境卫生、绿化、营业人员纪律、商品陈列、广告POP、导购牌等，对错误行为进行及时纠正与规范，并及时上报检查结果；7. 协助上级领导完成本楼层的各项经济指标，同时按商场要求及时完成各类经营数据统计报表的填报工作；8. 及时向厂家传递公司相关政策、通知；9. 协助相关部门开展各项服务工作及商品售后服务工作，及时处理各类客户投诉，不断提升客户满意度；任职要求：1. 形象良好，谈吐佳，善于沟通，2.1年以上楼层管理工作经验，1年以上大型建材、家具等零售业商场同等岗位工作经验；了解相关法律法规，熟练使用办公软件；3. 有一定沟通谈判能力、学习能力，具有高度工作责任心和团队精神。该职位可接受优秀本科应届毕业生，此职位发展前景大。
网络推广/SEM,大专,1-3年,深圳市有限元科技有限公司,深圳市南山科技园科技路桑达科技大厦208室,5千-8千,"岗位职责：1、负责百度/360/搜狗搜索引擎营销，包括账户搭建、关键词整理分类、广告语创意撰写、着陆页优化；2、负责SEM数据监控、投放产出分析以及效果优化；定期提供数据分析报告，并找出相应的改进方法，保证SEM推广正常有效推进；3、熟悉各大搜索引擎的搜索排名技术，掌握SEO技巧推广企业各大网站；4、整理关键词周边资讯信息、上传产品相关资料;5、会编写企业软文，包括企业广告、招商资料等的资料;任职要求：1、有过2年以上SEM实际操作经验，熟悉SEM竞价推广；2、全日制本科及以上学历，计算机网络优先考虑；3、沟通表达能力强，性格开朗，服从上级安排的其他工作；4、具备较强的数据分析能力，熟练使用Excel、PPT、Ps,有较好的文字、数据、图表、图片呈现能力。"
海外广告投放专员,本科,1-3年,东方丝路（深圳）科技有限公司,深圳市宝安区西乡固戍航空路与顺昌路交汇处梧桐岛10B栋5-7楼,8千-1万,工作职责：1. 根据产品特点与业务需求，规划、投放和优化亚马逊站内广告；2. 监控广告帐户，及时发现异常并进行调整；3. 定期统计、分析和总结广告投放数据，对投放效果负责；4. 关注行业动态，更新广告知识与技能。任职资格：- 大专或以上学历- 1年以上线上广告投放经验，有海外线上广告（谷歌，亚马逊，Facebook）投放经验者优先- 有大型广告帐户管理经验者优先- 具备一定的逻辑思维与数据分析能力- 责任心强，具备团队意识
